"Police.Service","Period","Total.Cases","Firearm.Injuries","Firearm.Deaths","Custody.Injuries","Custody.Deaths","Vehicle.Injuries","Vehicle.Deaths","Sexual.Assault.Complaints","Other","Year","muniName","Population.2006","Population.2011","Pop.density"
"Greater Sudbury Police Service","2007-2008",6,NA,NA,3,2,NA,NA,1,NA,2008,"Greater Sudbury","157,857","160,274 ","49.7"
"Greater Sudbury Police Service","2006-2007",7,NA,NA,3,NA,NA,1,3,NA,2007,"Greater Sudbury","157,857","160,274 ","49.7"
"Greater Sudbury Police Service","2005-2006",2,1,NA,NA,NA,NA,NA,1,NA,2006,"Greater Sudbury","157,857","160,274 ","49.7"
"Guelph Police Service","2013-2014",9,NA,NA,6,NA,2,NA,1,NA,2014,"Guelph","114,943","121,688","1,395.4"
"Guelph Police Service","2012-2013",3,NA,NA,1,1,1,NA,NA,NA,2013,"Guelph","114,943","121,688","1,395.4"
"Guelph Police Service","2011-2012",2,NA,NA,1,1,NA,NA,NA,NA,2012,"Guelph","114,943","121,688","1,395.4"
"Guelph Police Service","2010-2011",1,NA,NA,NA,NA,1,NA,NA,NA,2011,"Guelph","114,943","121,688","1,395.4"
"Guelph Police Service","2009-2010",1,NA,NA,1,NA,NA,NA,NA,NA,2010,"Guelph","114,943","121,688","1,395.4"
"Guelph Police Service","2008-2009",1,NA,NA,NA,NA,NA,NA,1,NA,2009,"Guelph","114,943","121,688","1,395.4"
"Guelph Police Service","2007-2008",1,NA,NA,1,NA,NA,NA,NA,NA,2008,"Guelph","114,943","121,688","1,395.4"
"Guelph Police Service","2006-2007",2,NA,NA,2,NA,NA,NA,NA,NA,2007,"Guelph","114,943","121,688","1,395.4"
"Guelph Police Service","2005-2006",4,NA,NA,2,1,NA,NA,1,NA,2006,"Guelph","114,943","121,688","1,395.4"
"Halton Regional Police Service","2013-2014",10,NA,1,7,NA,1,NA,1,NA,2014,"Halton Region","514,000","514,000","531.540847983454"
"Halton Regional Police Service","2012-2013",4,NA,NA,2,1,NA,NA,1,NA,2013,"Halton Region","514,000","514,000","531.540847983454"
"Halton Regional Police Service","2011-2012",8,1,1,4,NA,1,NA,1,NA,2012,"Halton Region","514,000","514,000","531.540847983454"
"Halton Regional Police Service","2010-2011",5,NA,1,2,NA,1,NA,1,NA,2011,"Halton Region","514,000","514,000","531.540847983454"
"Halton Regional Police Service","2009-2010",7,1,NA,3,2,1,NA,NA,NA,2010,"Halton Region","514,000","514,000","531.540847983454"
"Halton Regional Police Service","2008-2009",22,2,NA,18,1,NA,1,NA,NA,2009,"Halton Region","514,000","514,000","531.540847983454"
"Halton Regional Police Service","2007-2008",3,NA,1,2,NA,NA,NA,NA,NA,2008,"Halton Region","514,000","514,000","531.540847983454"
"Halton Regional Police Service","2006-2007",8,1,NA,6,NA,NA,1,NA,NA,2007,"Halton Region","514,000","514,000","531.540847983454"
"Halton Regional Police Service","2005-2006",6,1,NA,3,NA,NA,NA,2,NA,2006,"Halton Region","514,000","514,000","531.540847983454"
"Hamilton Police Service","2013-2014",12,NA,1,5,2,3,NA,1,NA,2014,"Hamilton","504,559","519,949","465.4"
"Hamilton Police Service","2012-2013",15,NA,NA,10,2,1,1,1,NA,2013,"Hamilton","504,559","519,949","465.4"
"Hamilton Police Service","2011-2012",5,NA,1,3,NA,NA,NA,1,NA,2012,"Hamilton","504,559","519,949","465.4"
"Hamilton Police Service","2010-2011",30,1,1,15,5,5,NA,3,NA,2011,"Hamilton","504,559","519,949","465.4"
"Hamilton Police Service","2009-2010",14,1,NA,9,1,2,NA,1,NA,2010,"Hamilton","504,559","519,949","465.4"
"Hamilton Police Service","2008-2009",1,NA,NA,NA,NA,1,NA,NA,NA,2009,"Hamilton","504,559","519,949","465.4"
"Hamilton Police Service","2007-2008",9,NA,1,4,NA,2,1,1,NA,2008,"Hamilton","504,559","519,949","465.4"
"Hamilton Police Service","2006-2007",9,1,NA,2,4,2,NA,NA,NA,2007,"Hamilton","504,559","519,949","465.4"
"Hamilton Police Service","2005-2006",15,NA,NA,7,1,4,1,2,NA,2006,"Hamilton","504,559","519,949","465.4"
"Hanover Police Service","2013-2014",1,NA,NA,1,NA,NA,NA,NA,NA,2014,"Hanover","7,147","7,490","763.8"
"Hanover Police Service","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Hanover","7,147","7,490","763.8"
"Hanover Police Service","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Hanover","7,147","7,490","763.8"
"Hanover Police Service","2010-2011",1,1,NA,NA,NA,NA,NA,NA,NA,2011,"Hanover","7,147","7,490","763.8"
"Hanover Police Service","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Hanover","7,147","7,490","763.8"
"Hanover Police Service","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Hanover","7,147","7,490","763.8"
"Hanover Police Service","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Hanover","7,147","7,490","763.8"
"Hanover Police Service","2006-2007",1,NA,NA,NA,NA,1,NA,NA,NA,2007,"Hanover","7,147","7,490","763.8"
"Hanover Police Service","2005-2006",2,NA,NA,2,NA,NA,NA,NA,NA,2006,"Hanover","7,147","7,490","763.8"
"Kawartha Lakes Police Service (City of)","2013-2014",1,NA,NA,1,NA,NA,NA,NA,NA,2014,"Kawartha Lakes","74,561","73,214","23.7"
"Kawartha Lakes Police Service (City of)","2012-2013",2,NA,NA,NA,NA,1,NA,1,NA,2013,"Kawartha Lakes","74,561","73,214","23.7"
"Kawartha Lakes Police Service (City of)","2011-2012",1,NA,1,NA,NA,NA,NA,NA,NA,2012,"Kawartha Lakes","74,561","73,214","23.7"
"Kawartha Lakes Police Service (City of)","2010-2011",1,NA,NA,1,NA,NA,NA,NA,NA,2011,"Kawartha Lakes","74,561","73,214","23.7"
"Kawartha Lakes Police Service (City of)","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Kawartha Lakes","74,561","73,214","23.7"
"Kawartha Lakes Police Service (City of)","2008-2009",3,NA,NA,2,1,NA,NA,NA,NA,2009,"Kawartha Lakes","74,561","73,214","23.7"
"Kawartha Lakes Police Service (City of)","2007-2008",1,NA,NA,1,NA,NA,NA,NA,NA,2008,"Kawartha Lakes","74,561","73,214","23.7"
"Kawartha Lakes Police Service (City of)","2006-2007",2,1,NA,NA,NA,NA,1,NA,NA,2007,"Kawartha Lakes","74,561","73,214","23.7"
"Kawartha Lakes Police Service (City of)","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Kawartha Lakes","74,561","73,214","23.7"
"Kenora Police Service","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Kenora","15,177","15,348","72.5"
"Kenora Police Service","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Kenora","15,177","15,348","72.5"
"Kenora Police Service","2011-2012",1,NA,NA,1,NA,NA,NA,NA,NA,2012,"Kenora","15,177","15,348","72.5"
"Kenora Police Service","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Kenora","15,177","15,348","72.5"
"Kenora Police Service","2009-2010",1,NA,NA,NA,NA,1,NA,NA,NA,2010,"Kenora","15,177","15,348","72.5"
"Kenora Police Service","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Kenora","15,177","15,348","72.5"
"Kenora Police Service","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Kenora","15,177","15,348","72.5"
"Kenora Police Service","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Kenora","15,177","15,348","72.5"
"Kenora Police Service","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Kenora","15,177","15,348","72.5"
"Kingston Police Service","2013-2014",2,NA,NA,2,NA,NA,NA,NA,NA,2014,"Kingston","117,207","123,363","273.4"
"Kingston Police Service","2012-2013",5,NA,NA,3,NA,1,NA,1,NA,2013,"Kingston","117,207","123,363","273.4"
"Kingston Police Service","2011-2012",4,NA,NA,1,NA,1,NA,2,NA,2012,"Kingston","117,207","123,363","273.4"
